file,label
rock\rock_3d6282ec-dd36-4711-8be3-97c2c2774834.jpg,rock
rock\rock_16245215-40f0-41be-88b6-54990dc704c7.jpg,rock
rock\rock_79b64437-e132-4fa6-a651-29107c8dfc98.jpg,rock
rock\rock_d958a95e-9f50-4a0e-b778-74d1d84e8026.jpg,rock
rock\rock_156eafa4-152e-4bda-b6d0-7cc7454ad9c9.jpg,rock
rock\rock_1f44aae6-4f9c-44aa-948e-06ed1dc452f2.jpg,rock
rock\rock_44a11854-3208-4217-8931-8d81ebf790b2.jpg,rock
rock\rock_2801093f-d6c9-4bff-a365-9be95c17ac25.jpg,rock
rock\rock_d7e353ba-1882-4f2d-aae1-09ac3ae21d7a.jpg,rock
rock\rock_e447599a-48f6-4884-bdea-35fd2de7f70a.jpg,rock
rock\rock_56c353f3-d00e-4c35-9a57-ab41fcde77fa.jpg,rock
rock\rock_edde034e-7758-43c3-bcbe-48319da080da.jpg,rock
rock\rock_1c0aa96e-2f58-4403-b4e6-8274fdacbb93.jpg,rock
rock\rock_1ffd041b-2ffd-4cab-a89b-49a0a5bb40d5.jpg,rock
rock\rock_baade426-c232-4194-8439-66e13edc0f99.jpg,rock
rock\rock_5a22504f-5a2a-4f00-aa46-a60fd797e7ec.jpg,rock
paper\paper_2e23478a-5b20-4f28-94c3-5442a24b10bf.jpg,paper
paper\paper_ec6c0c5b-5a09-45d4-9c0f-ed073468aa67.jpg,paper
paper\paper_39375731-e7f9-44f1-85ba-8ec99c992a35.jpg,paper
paper\paper_22a3c00b-60df-4bd3-bd48-73b8b8ff570e.jpg,paper
paper\paper_d2ba46e4-ddaa-4458-9f71-81b02bbd7a7a.jpg,paper
paper\paper_59acb88e-79f6-4779-8501-849c3b4f72a3.jpg,paper
paper\paper_793aec11-d9c4-405d-b3a9-8cc71cf4b122.jpg,paper
paper\paper_ed0ef94b-ef63-4849-9676-51c514a351f1.jpg,paper
paper\paper_504c2132-f4a2-4710-9d4d-d823635de64a.jpg,paper
paper\paper_f7a54d68-26ce-45b2-977e-381854a0181f.jpg,paper
paper\paper_57699f72-942e-4495-bade-bc0e0ba191f2.jpg,paper
paper\paper_bfc4d9cb-2617-42a1-b3e0-d6c341f282a5.jpg,paper
paper\paper_1e8e81b9-1b6e-43d9-b669-be66e1aaad1f.jpg,paper
paper\paper_b5e0f0c1-6719-4ed9-a99d-1934905792ee.jpg,paper
paper\paper_40acd738-e481-448f-b52f-e64008f845be.jpg,paper
paper\paper_447ef0c5-9b03-42fc-9879-96fa54ef4aed.jpg,paper
paper\paper_ea3e4fc9-91af-40f5-a391-ea6369afdc0a.jpg,paper
paper\paper_11389ccc-7bcc-4b68-9a85-636616d64934.jpg,paper
paper\paper_a91fadd1-88b7-4c95-97f1-33f5e9885b83.jpg,paper
paper\paper_307f65a2-cdee-4b1b-9498-5fac8bb88110.jpg,paper
paper\paper_916489ff-ecb5-4ffe-91c7-5382e738108b.jpg,paper
paper\paper_419eba07-7b8f-4f74-ab89-782c4c72bd7a.jpg,paper
paper\paper_78952851-b7ec-4556-bebd-6d97699cd192.jpg,paper
paper\paper_e8745e42-01fa-4ad1-8f38-3f63bef7d329.jpg,paper
paper\paper_8ee49102-58bd-41d8-8221-f1e9dc6f3a25.jpg,paper
paper\paper_b373395d-cbc6-477f-a444-220c2da6de9a.jpg,paper
paper\paper_c48c04d7-5ee0-4fd4-8fee-a1e65b3dc087.jpg,paper
paper\paper_5c084f86-e823-450c-8e40-d493defc7a70.jpg,paper
paper\paper_47fb428d-1bdd-4fb3-84a7-b229e1739f1f.jpg,paper
paper\paper_0b7443fe-9d02-45c2-9764-fa78e0c2faae.jpg,paper
paper\paper_cbef48c7-5bbf-43c8-8d17-f3877a5cfd30.jpg,paper
paper\paper_a013270b-d621-4b88-a663-6e1b2771b94a.jpg,paper
paper\paper_eba144a9-9b9c-48ed-a8bf-50ca7b6c9226.jpg,paper
paper\paper_cd859de8-e12f-40f6-bacb-92d31994fba2.jpg,paper
paper\paper_11e455f2-69a1-4a8c-8d98-1b6b1bb8c8b9.jpg,paper
paper\paper_ee23af74-5e0f-4855-98b4-77c7ab0b2197.jpg,paper
paper\paper_40fcdf83-6d69-4575-bce3-87e72e1cfe9f.jpg,paper
paper\paper_19525597-2734-4a41-a0da-89210b5fd8e1.jpg,paper
paper\paper_20640cd1-bd7d-4347-a074-99f7a54954e0.jpg,paper
paper\paper_093ff065-3332-449e-8a4f-aebba9ff8726.jpg,paper
paper\paper_358b0741-2d62-41b1-9f35-e8102f77aef7.jpg,paper
paper\paper_9c9c9638-8f89-42c2-b05b-518ad2757120.jpg,paper
paper\paper_78323736-7a24-4f98-bcd2-527bc48c9b9e.jpg,paper
paper\paper_ec92a4b6-1fe8-4dbd-b548-63042d79fa0c.jpg,paper
paper\paper_6dfcb4e4-4d3d-4922-b971-9d2d8a751e13.jpg,paper
paper\paper_2ada73d5-2dab-4269-8e7a-e644983ffd82.jpg,paper
paper\paper_8517c5bf-911c-4de5-98d2-f4c507650ac2.jpg,paper
paper\paper_3cf3a4f8-d502-48e4-bf57-6fc80a091a63.jpg,paper
paper\paper_98437aea-24b1-4b18-b8c8-be28fbbad47f.jpg,paper
paper\paper_071fff68-b465-441a-8992-9ffb3349e5f8.jpg,paper
scissors\scissors_cafede75-9470-4bdf-b17c-ff555630c6e6.jpg,scissors
scissors\scissors_69ab7fa6-cef5-4ded-8a1b-43084f2e66bf.jpg,scissors
scissors\scissors_87260f0e-ed94-47e7-a981-1f1ef80434cf.jpg,scissors
scissors\scissors_4f93e542-c431-4bf9-99f5-64159329e588.jpg,scissors
scissors\scissors_2355a0e4-a3e2-433c-ad4d-a8b532a2731e.jpg,scissors
scissors\scissors_163e8163-866c-492d-a87f-1d18d3e8e4b9.jpg,scissors
scissors\scissors_09c15606-2b51-4efa-932e-dd1ac19f2223.jpg,scissors
scissors\scissors_043ee19b-dd5e-4f34-96e2-b180692f8d6f.jpg,scissors
scissors\scissors_aaf3dd93-035d-4bfb-81ef-e83f97260910.jpg,scissors
scissors\scissors_35734ec1-414f-49bf-a6e2-a6271cc0366e.jpg,scissors
scissors\scissors_cf74a73c-82f1-46bc-b9be-2a5d962d42e6.jpg,scissors
scissors\scissors_76d30bc3-0d1b-4b9f-b542-0c6a581943ab.jpg,scissors
scissors\scissors_c937a6b3-35da-43ec-8a1c-e3039c7ef3f4.jpg,scissors
scissors\scissors_b4dc3f30-e6a8-4eff-805e-86d4cddaa7bb.jpg,scissors
scissors\scissors_d1137b9d-95bb-4cc1-9c24-297138ab97ed.jpg,scissors
scissors\scissors_92775969-8f66-425e-ab8d-4b3217922fa7.jpg,scissors
scissors\scissors_659a2e86-9524-4db9-b050-8048c8568bd7.jpg,scissors
scissors\scissors_0d0fb6dd-697b-4af2-9e72-841f6f6fe091.jpg,scissors
scissors\scissors_499ed176-54f3-4167-9864-59c5f911bae7.jpg,scissors
scissors\scissors_79102403-6d33-43f3-9612-aeb4b9e6dc6f.jpg,scissors
scissors\scissors_f8f4d002-6afa-4c40-be14-9ad051c264c5.jpg,scissors
scissors\scissors_602398cb-b2f7-48c3-ac0b-200f28031aeb.jpg,scissors
scissors\scissors_db68f99c-560a-4050-96d0-2dcde8329cd0.jpg,scissors
scissors\scissors_1e4a8784-52e4-41d4-b6a7-47d8804a5a57.jpg,scissors
scissors\scissors_bd329c12-5248-4294-8eb9-ee317a3cfe92.jpg,scissors
scissors\scissors_07956267-1cbf-4790-9860-74cc0aa59f83.jpg,scissors
scissors\scissors_833444f9-ff3e-4493-ba7e-5e973a645e51.jpg,scissors
scissors\scissors_1118371d-65d2-4871-89be-13a8dd8a5512.jpg,scissors
scissors\scissors_da7bedaf-2821-466b-b7d8-27a64a1cac2f.jpg,scissors
scissors\scissors_8bfdc6d1-0cd6-47c2-b11f-4703774aba6c.jpg,scissors
scissors\scissors_efd5173a-b289-4011-a9d6-c9eec8c198cd.jpg,scissors
scissors\scissors_44120159-3b1a-49a9-9e17-2b0622c5cd52.jpg,scissors
scissors\scissors_3a7a5038-8023-41a1-b609-3dab490d396d.jpg,scissors
scissors\scissors_c669e9b7-0b91-4144-870e-7bbcd0e95955.jpg,scissors
scissors\scissors_148cef36-96d4-4f88-b25b-54b307ffaaed.jpg,scissors
scissors\scissors_f44fac14-782e-4171-b66a-4514208650bc.jpg,scissors
scissors\scissors_fa6cad30-f1ac-457d-b503-f8d0c5e1cfd7.jpg,scissors
scissors\scissors_1a8197e1-c5af-4c7e-8722-c45501c49a43.jpg,scissors
scissors\scissors_3f14a15d-94a3-4d3b-8c31-f06938c57ba6.jpg,scissors
scissors\scissors_6e1abe2b-1f12-4d3c-a238-7babe147f10f.jpg,scissors
scissors\scissors_9fd83768-6833-42e9-87c6-71463e656da8.jpg,scissors
scissors\scissors_00e4247a-766e-41bc-a4e8-172615e922ab.jpg,scissors
scissors\scissors_25b695ce-08a5-4af5-8340-8992edec44d2.jpg,scissors
scissors\scissors_a1697140-5d16-4998-bbb1-7a8d8a209b39.jpg,scissors
scissors\scissors_31db3ac1-48af-4620-8253-254a5ac684a6.jpg,scissors
scissors\scissors_84c7cf49-3be0-4868-8bb6-3d6e2d8ae36a.jpg,scissors
scissors\scissors_bdbdd2ef-64e7-4198-b9a6-4a41e19dbf04.jpg,scissors
scissors\scissors_6d295d49-a06f-46ec-b05a-1b0903c19900.jpg,scissors
scissors\scissors_9a9879e6-030a-4052-b4c9-72d57c8677c7.jpg,scissors
scissors\scissors_aab3d460-7600-458b-89d4-d0dac9a9f448.jpg,scissors
